2/14/2016,MARKET PLACE BY JASONS  4SAI YING PUN HK,-319.2
2/12/2016,UBER BV                  HELP.UBER.COMNL,-43
2/11/2016,BOOKDEPOSITORY.COM       441452307905 GB,-445.47
2/9/2016,MARKET PLACE BY JASONS  4SAI YING PUN HK,-238.1
2/8/2016,MARKET PLACE BY JASONS  4SAI YING PUN HK,-520.8
2/7/2016,FORTRESS HK/655          HONG KONG    HK,-898
2/4/2016,ITUNES.COM/BILL          ITUNES.COM   LU,-318
2/4/2016,MARKET PLACE BY JASONS  4SAI YING PUN HK,-427.7
1/30/2016,MARKET PLACE BY JASONS  4SAI YING PUN HK,-345.1
1/29/2016,MARKET PLACE BY JASONS  4SAI YING PUN HK,-359.4
1/26/2016,PURE INT'L(HK)LTD-FITN   HONG KONG    HK,-28
1/24/2016,SMARTONE-HP24            HONG K(015/024),-249.16
1/24/2016,FLYING PIG BISTRO        HONG KONG    HK,-349
1/23/2016,MARKET PLACE BY JASONS  4SAI YING PUN HK,-367.9
1/22/2016,SMARTONE AUTOPAY         KWUN TONG    HK,-319
1/20/2016,ZUJI LIMITED             HONG KONG    HK,-8316.92
1/20/2016,COYOTE BAR & GRILL       HONG KONG    HK,-952
1/19/2016,PAYMENT - THANK YOU,15189.82
1/19/2016,MARKET PLACE BY JASONS  4SAI YING PUN HK,-213.3
1/17/2016,VIVIENNE WESTWOOD CAFE   HONG KONG    HK,-201
1/13/2016,Uber BV                  help.uber.comNL,-29.33
1/13/2016,PIZZAEXPRESS HK LTD-JS   HONG KONG    HK,-495
1/12/2016,MARKET PLACE BY JASONS  4SAI YING PUN HK,-180.4
1/11/2016,B2 GROUP COMPANY         TSIM SHA TSUIHK,-1262
1/9/2016,MARKET PLACE BY JASONS  4SAI YING PUN HK,-166.8
1/8/2016,HIMALAYA RESTAURANT      HONG KONG    HK,-358
1/5/2016,MARKET PLACE BY JASONS  4SAI YING PUN HK,-403.1
1/4/2016,"KING POWER DUTY FREE CO.,SAMUTPRAKAN  TH",-419.69
1/4/2016,CASA LISBOA PORTUGUESE REHONG KONG    HK,-315
12/30/2015,ITUNES.COM/BILL          ITUNES.COM   LU,-158
12/25/2015,AKU TEPPANYAKI JAP REST  HONG KONG    HK,-2520
12/24/2015,MARKET PLACE BY JASONS  4SAI YING PUN HK,-327.9
12/24/2015,APPLE STORE         25200HONG KONG    HK,-588
12/24/2015,CITY SUPER-IFC           HONG KONG    HK,-208.5
12/22/2015,ZUJI LIMITED             HONG KONG    HK,-2671.16
12/21/2015,PAYMENT - THANK YOU,8056.66
12/20/2015,DIN TAI FUNG        07600HONG KONG    HK,-272.8
12/19/2015,MULTIPLEX CINEMA LIMITED HONG KONG    HK,-238
12/19/2015,LA ROTISSERIE SYP        HK           HK,-920
12/18/2015,ITUNES.COM/BILL          ITUNES.COM   LU,-23
12/16/2015,MARKET PLACE BY JASONS  4SAI YING PUN HK,-233.8
12/12/2015,MARKET PLACE BY JASONS  4SAI YING PUN HK,-187.5
12/11/2015,Uber BV                  help.uber.comNL,-20
12/11/2015,Uber BV                  help.uber.comNL,-20
12/11/2015,Uber BV                  help.uber.comNL,20
12/8/2015,WOO TUNG YAKINIKU DINN   HONG KONG    HK,-174
12/7/2015,BOUCHON BISTRO FRANCAIS  HONG KONG    HK,-406
12/4/2015,MARKET PLACE BY JASONS  4SAI YING PUN HK,-322.3
12/3/2015,LA ROTISSERIE            HK           HK,-144
12/2/2015,208                      HK           HK,-248.6
11/30/2015,DELANEY'S                POKFULAM     HK,-296
11/29/2015,MARKET PLACE BY JASONS  4SAI YING PUN HK,-224.1
11/28/2015,MARKET PLACE BY JASONS  4SAI YING PUN HK,-557.5
11/26/2015,MARKET PLACE BY JASONS  4SAI YING PUN HK,-66.5
11/24/2015,SAMA                     HK           HK,-225
11/24/2015,SMARTONE-HP24            HONG K(013/024),-249.16
11/23/2015,PREGO ITALIAN            HONG KONG    HK,-240
11/23/2015,MARKET PLACE BY JASONS  4SAI YING PUN HK,-291.1
11/22/2015,HOTEL SARAVANAA BHAVAN   HONG KONG    HK,-295.9
